name,lat,long,test,link
Brenham Drop Box,30.179327,-96.38708,Mandatory,https://maps.app.goo.gl/s6UmJiU3QHS1SYkx5
Brooks County Drop Box,27.227436,-98.15225,Mandatory,https://maps.app.goo.gl/Y2bDCDzBuSNKTBaM8
Chaparral WMA Check Station,30.036807,-99.14045,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
Coolidge Check Station,31.75661,-96.65013,Mandatory,https://maps.app.goo.gl/S1FX6ASWY4mFAZUY6
Dalhart Check Station,36.0386489,-102.50531,Mandatory,https://maps.app.goo.gl/oEvGodv5fig1vcKg8
Daughtrey WMA Check Station,30.015738,-99.12667,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
Del Rio Drop Box,29.43187,-100.90898,Mandatory,https://maps.app.goo.gl/tU4LdfYoSkL7sqkL7
Doss Drop Box,30.44347,-99.13059,Mandatory,https://maps.app.goo.gl/TghALwJ66jK5fXTP8
East US 62/180 Staffed Check Station,31.960389,-104.68033,Mandatory,https://maps.app.goo.gl/fZSHhpMQvWFVxjQG7
George Grove Drop Box,28.31439,-98.11422,Mandatory,https://maps.app.goo.gl/t5UKkYdmSFXvJztaA
Gus Engeling WMA Check Station,34.230463,-99.43046,Voluntary,https://maps.app.goo.gl/6a5qSGgVTNYcuEiQ8
Hallettsville Check Station,29.44385,-96.94109,Voluntary,https://maps.app.goo.gl/G5X6mMJbPU9qEi5B7
Harper Drop Box ,30.30186,-99.24844,Mandatory,https://maps.app.goo.gl/S3PNvhFN67kAbr9C9
Hondo Drop Box,29.346774,-99.14806,Mandatory,https://maps.app.goo.gl/KADNw6j2Rji2WVey8
Hueco Mountains Staffed Check Station,31.839343,-105.96949,Mandatory,https://maps.app.goo.gl/4KWuohKHZr4NGpSJ7
Kerr WMA Check Station,30.077224,-99.34365,Voluntary,https://maps.app.goo.gl/1aSCBUPCsqq1fKdAA
La Grange Check Station,29.905708,-96.8766,Voluntary,https://maps.app.goo.gl/1NN456iGkvieE95H9
Las Palomas WMA Check Station,26.167595,-98.01085,Voluntary,https://maps.app.goo.gl/95rNdeGvH4TLJyaW8
Lytle Drop Box,29.1881,-98.79656,Mandatory,https://maps.app.goo.gl/bYAC1NpKqUcfWT869
Mason Mountain WMA Check Station,30.8164592,-99.22684,Voluntary,https://maps.app.goo.gl/S9FS2U5F6jE2aXsS7
Matador WMA Check Station,34.11771,-100.34495,Voluntary,https://maps.app.goo.gl/tn5ytkQX3Ga56afa7
Muse WMA Check Station,31.90298,-98.83504,Voluntary,https://maps.app.goo.gl/BJiteJFLqphWi94R6
Orange Grove Drop Box,28.02611,-98.22539,Mandatory,https://maps.app.goo.gl/bkUxNWqzZbWvpPfc6
Pearsall Drop Box,28.87838,-99.11609,Mandatory,https://maps.app.goo.gl/VqjYXwFAaofDiEf3A
Quilan Staffed Check Station,32.90911,-96.19536,Mandatory,https://maps.app.goo.gl/JrgC8pHim5dsDbDE8
Rockspring Check Station,30.01576,-100.20536,Voluntary,https://maps.app.goo.gl/2KpndNWzMpbbw9ep9
Roger R. Fawcett WMA Check Station,32.6139,-98.30829,Voluntary,https://maps.app.goo.gl/RBn9tyyXppG6WXECA
Segovia Drop Box,30.418925,-99.6697,Mandatory,https://maps.app.goo.gl/EEs6VtQf1QEizwZ76
Sonora Drop Box,30.576636,-100.57739,Mandatory,https://maps.app.goo.gl/BuNFY8yDHTUkbViq8
South Llano River State Park Drop Box,30.4483049,-99.81793,Mandatory,https://maps.app.goo.gl/FfJfJJ4pxjz2L7DE6
Star Drop Box ,31.464972,-98.31726,Mandatory,https://maps.app.goo.gl/jq7Mgg1d4Md41SFu7
Tarpley Check Station,29.657711,-99.27943,Mandatory,https://maps.app.goo.gl/EijN5aVuKpEjDWZC6
Terrel Drop Box,32.755195,-96.2658,Mandatory,https://maps.app.goo.gl/B5JWkxg6sJVJAWmU7
Tyler Check Station,32.308589,-95.21359,Voluntary,https://maps.app.goo.gl/9FGTg8gAsKm9aW8G8
Uvalde Drop Box,29.23584,-99.74979,Mandatory,https://maps.app.goo.gl/ry9nZVK6UVrSwjAe7
Van Horn Staffed Check Station,31.03744,-104.85283,Mandatory,https://maps.app.goo.gl/JpGRmf2VkFAtKrng6
Vega Check Station,35.243446,-102.43404,Mandatory,https://maps.app.goo.gl/ecTcra2MQp2YSm6b9
Waelder Drop Box,29.69298,-97.2953,Mandatory,https://maps.app.goo.gl/2YEEWRVcD7Xob3hb9
Dees's Local Express,34.758537,-87.99279,Mandatory,https://maps.app.goo.gl/w4G9wFMNfKDwtJGi9
Cherokee Volunteer Fire Department Station 2,34.764644,-87.96248,Mandatory,https://maps.app.goo.gl/P7TpkcaxozSbkke77
Ford City Ace Hardware,34.78521,-87.5295,Mandatory,https://maps.app.goo.gl/Hpm6BLciUCVuSLne8
Perkin's Outdoors,34.79159,-87.67497,Mandatory,https://maps.app.goo.gl/3PxAajUEtcEoKemS8
Cypress Creek Indoor Range,34.874851,-87.70008,Mandatory,https://maps.app.goo.gl/mddr8uvgSdxi7B8k7
247 Chevron (used to be Yogi's Texaco),34.7219,-87.8126,Mandatory,https://maps.app.goo.gl/LsDVkLPcGfrRCGUX6
Colbert Farmers Co-op,34.711946,-87.71965,Mandatory,https://maps.app.goo.gl/MF8ZKd9nTgUuz6XA8
Florence Frozen Meats,34.7901,-87.6694,Mandatory,https://maps.app.goo.gl/bEkJEYbyz18w2dY47
